Unnamed: 0,iter,loglik,sigma,alpha,tau,converge,gene_name,regime,model,param.count,ntips,AIC,AIC_weight,truth,called
62,1,-251.622656442256,0.598836576876821,0.691883656570761,0,,OUM_10,OUM,OUM,6,256,515.245312884513,1.0,OUX,OUX
63,1,-79.1935237203887,0.141848278347661,0.635553731592919,0,,OUM_11,OUM,OUM,6,256,170.387047440777,1.0,OUX,OUX
64,1,-38.4593638034291,0.0930968827112445,0.543304145711971,0,,OUM_12,OUM,OUM,6,256,88.9187276068583,1.0,OUX,OUX
65,1,-142.732288134317,0.230558540694197,0.610736711263954,0,,OUM_13,OUM,OUM,6,256,297.464576268634,0.999981911252948,OUX,OUX
66,1,-439.410817904786,2.30192232767352,0.602810695082538,0,,OUM_14,OUM,OUM,6,256,890.821635809571,0.999966285372031,OUX,OUX
67,1,-125.217229831134,0.276909404608666,0.875915728985047,0,,OUM_15,OUM,OUM,6,256,262.434459662269,1.0,OUX,OUX
68,1,-340.797085122937,1.21659838381078,0.70098952891623,0,,OUM_16,OUM,OUM,6,256,693.594170245873,0.999999999994857,OUX,OUX
69,1,67.8880261866206,0.0326912134821827,0.418221938356725,0,,OUM_17,OUM,OUM,6,256,-123.776052373241,0.999704540357909,OUX,OUX
70,1,-76.6621524104809,0.128742808514618,0.56836659675279,0,,OUM_18,OUM,OUM,6,256,165.324304820962,1.0,OUX,OUX
71,1,-418.484712266788,2.3632647868113,0.747076581879354,0,,OUM_19,OUM,OUM,6,256,848.969424533576,0.999999999759395,OUX,OUX
72,1,-285.515438956622,0.650421391730697,0.560216170373594,0,,OUM_2,OUM,OUM,6,256,583.030877913244,0.950544844951853,OUX,OUX
73,1,-119.972183994145,0.168401024562171,0.5228773413744,0,,OUM_20,OUM,OUM,6,256,251.944367988291,0.999999971194895,OUX,OUX
74,1,-84.527626948791,0.135924101954274,0.56243969250309,0,,OUM_21,OUM,OUM,6,256,181.055253897582,1.0,OUX,OUX
75,1,-138.692652905414,0.23588311477091,0.654150469252414,0,,OUM_22,OUM,OUM,6,256,289.385305810828,0.999999999952248,OUX,OUX
76,1,-151.26815018472,0.278821322400099,0.707468487878602,0,,OUM_23,OUM,OUM,6,256,314.53630036944,1.0,OUX,OUX
77,1,-139.214156314652,0.277905098980528,0.781141007819436,0,,OUM_24,OUM,OUM,6,256,290.428312629305,0.999999999998298,OUX,OUX
78,1,-235.0397430728,0.465218373327816,0.601109940545868,0,,OUM_25,OUM,OUM,6,256,482.079486145601,0.651591022409596,OUX,OUX
79,1,-198.985304933536,0.418229820379909,0.732009435714967,0,,OUM_26,OUM,OUM,6,256,409.970609867073,0.999998731634251,OUX,OUX
80,1,-224.404308317744,0.419419763127935,0.586837539034122,0,,OUM_27,OUM,OUM,6,256,460.808616635489,1.0,OUX,OUX
81,1,-306.071668031971,0.940031928217879,0.711427266018023,0,,OUM_28,OUM,OUM,6,256,624.143336063943,0.999999999539042,OUX,OUX
82,1,-470.694065253436,3.22730233849006,0.671004060629709,0,,OUM_29,OUM,OUM,6,256,953.388130506872,0.998777627915858,OUX,OUX
83,1,-298.862704304012,0.806431603918105,0.638057788031992,0,,OUM_3,OU1,OU1,4,256,605.725408608024,0.864726935064822,OUX,OU1
84,1,-425.692488929987,2.73510244902937,0.823481077926881,0,,OUM_30,OUM,OUM,6,256,863.384977859975,0.999999993881785,OUX,OUX
85,1,60.8776729386817,0.0142007085353352,1e-10,0,,OUM_4,BM1,BM1,3,256,-115.755345877363,0.999970983416378,OUX,BM1
86,1,-437.851560500868,3.09749649974037,0.850470588542177,0,,OUM_5,OUM,OUM,6,256,887.703121001736,0.99999999999993,OUX,OUX
87,1,-135.992035631634,0.256725425196479,0.72942322525542,0,,OUM_6,OUM,OUM,6,256,283.984071263269,1.0,OUX,OUX
88,1,-384.611399674824,1.70171416887872,0.696184407096233,0,,OUM_7,OUM,OUM,6,256,781.222799349647,0.999999747833016,OUX,OUX
89,1,-133.812628488015,0.211605287265748,0.601928203545246,0,,OUM_8,OUM,OUM,6,256,279.625256976029,1.0,OUX,OUX
90,1,-504.895930042991,4.02978096288324,0.636979529780237,0,,OUM_9,OUM,OUM,6,256,1021.79186008598,0.999999986494273,OUX,OUX
