,v_phylo,v_space,frac_heritable
Skap1,0.59251931684174,0.0034250780393736985,0.9942526885582051
Slc7a2,0.40706769485874783,0.07264350542912394,0.8485682523453048
Slc8a1,0.15322982613756303,0.543680417769411,0.21987024509574674
Sox17,1.4075072555054058e-15,1.1300657885588994,1.2455091285440187e-15
Stxbp6,3.5180569257852395e-14,1.0858465413686624,3.239920920456005e-14
Themis,0.36194227620232183,3.6861610648141086e-11,0.999999999898156
Tmem252,0.30585434224006697,0.0231400159186526,0.9296643989636777
Tmprss11e,0.058428585829693826,0.3474083603715837,0.14397059305861173
Tppp3,0.0010039012332309998,0.9796579060264926,0.0010236976965955413
Trdc,0.6010896252520559,1.3976412957343913e-14,0.9999999999999767
Tspan7,0.3367010071184629,0.1124425432165264,0.7496512125518395
Vcan,4.4968272634504405e-17,0.9555336548840202,4.7060898802107097e-17
Wnt7b,1.2760671112240553e-05,0.9345249304661442,1.3654528044462128e-05
Xcr1,0.7411877554634819,5.836466977121658e-13,0.9999999999992125
Zbtb7b,0.005450482199497232,0.5027576268506789,0.010724902067548664
