gene,selected,adaptive,d_aic,disp_r,aic_BM,aic_OU1,aic_OU2
Stat1,OU1,False,1.9353354643390048,0.5621724843765253,2421.876036789097,2418.938260350515,2420.873595814854
Prim1,OU2,True,0.2928738388950478,0.2193873601753181,1946.5265142767946,1948.5265142767944,1946.2336404378996
Ldhb,BM,False,8.424270214790795,0.6871650714635347,2469.8612484660825,2478.2855186808733,2479.330561739914
Sirt7,OU2,True,2.0497527763386643,0.18260534662896138,1531.2382266149139,1534.4291586239353,1529.1884738385752
Mad2l1,BM,False,1.515286863554138,0.281726499748355,2431.15941224169,2433.159412241691,2432.674699105244
Tmed7,BM,False,0.8316092929321712,0.5580030599438931,2271.7268622358106,2272.5584715287428,2274.388058886248
Slc1a4,BM,False,1.4373105175620822,0.16180092093499893,1625.5536410691277,1627.553641069128,1626.9909515866898
Snx18,BM,False,2.147625298653793,0.3865362266752022,2005.4806892521424,2007.6283145507962,2008.7083708334312
Slc25a1,OU2,True,1.2030532371991285,0.5898819489516246,2334.787841928047,2334.4693607922504,2333.2663075550513
Ccnb2,BM,False,1.999999999994543,0.25569356664146037,2174.0800963206684,2176.080096320663,2177.857970147476
Ccnf,BM,False,2.0000000000002274,0.09400231090488756,1445.8080429034178,1447.808042903418,1448.2389613310138
Tmem50b,BM,False,1.9999999999995453,0.28978458779937,1905.0858769470326,1907.0858769470321,1908.8721399384874
Stat2,BM,False,2.296173385647535,0.37754788223466623,2041.8771562170123,2044.1733296026598,2046.159624215315
Rnase4,BM,False,3.259760762688984,0.24129255621669649,2008.9866965364156,2012.2464572991046,2014.167236777207
H2-K1,BM,False,2.000000000000682,0.14520234890687944,1551.5039476365675,1553.5039476365682,1555.2329335756579
Tacc3,BM,False,1.918370849815119,0.18299450975799972,1971.0093138653885,1973.0093138653885,1972.9276847152037
Tomm40,BM,False,4.52238917348177,1.2711835868254093,2264.750102242547,2269.272491416029,2269.9702363339784
