rep,div,theta_cov50,theta_cov90,theta_mean,theta_sd,theta_rank,sigma_cov50,sigma_cov90,sigma_mean,sigma_sd,sigma_rank,tau_cov50,tau_cov90,tau_mean,tau_sd,tau_rank
58,0,0,1,1.6678144071428573,0.3910013619749206,0.8057142857142857,1,1,1.0216190208857143,0.1130712075005925,0.425,1,1,0.236613496985,0.10666048278838472,0.695
59,0,0,0,2.645137839,0.3938608681323808,0.04642857142857143,1,1,0.9980275713357144,0.10867382615706014,0.48928571428571427,0,1,0.2053644677169286,0.10749048533851961,0.7885714285714286
60,0,0,1,2.27892583075,0.4052682123088078,0.24142857142857144,1,1,1.0596816698,0.09743971505732262,0.2692857142857143,0,1,0.17814372475544002,0.10099743028168337,0.875
61,0,1,1,2.151106243628571,0.40673048613702123,0.3557142857142857,1,1,1.056121406935714,0.11192076316839605,0.31214285714285717,1,1,0.2314426753745,0.11075217551066549,0.7078571428571429
62,0,0,0,1.2557819379285715,0.3562890134359923,0.9807142857142858,1,1,0.9279907509857143,0.12987539440814977,0.7235714285714285,1,1,0.34846273431942854,0.10233676104362573,0.25357142857142856
63,0,1,1,2.096415605328571,0.3611611144292651,0.3821428571428571,0,1,0.9046749455214286,0.13340427241070707,0.775,0,1,0.37633020408449996,0.09906228418990157,0.17857142857142858
64,0,0,1,2.319134936892857,0.3752703762281085,0.20714285714285716,1,1,0.9924591159000001,0.13351392837319961,0.5242857142857142,1,1,0.3201480971982857,0.11116963380265124,0.37857142857142856
65,0,1,1,2.010944070564286,0.4280984520330287,0.5,1,1,1.0859741566428571,0.1309315169165828,0.25857142857142856,1,1,0.2369169158377143,0.13066800511888713,0.6478571428571429
66,0,0,1,1.693298447442857,0.3511233472932114,0.8078571428571428,1,1,0.9526192097142858,0.1406332470712888,0.6457142857142857,1,1,0.3308989440232143,0.11492946396859863,0.31785714285714284
67,0,1,1,1.8721784628214286,0.3605857223531106,0.6528571428571428,1,1,1.00441887495,0.12245055575323713,0.49357142857142855,1,1,0.2607293689675,0.11260315206490057,0.5857142857142857
68,0,1,1,2.1658894630714283,0.35677661551599765,0.3314285714285714,1,1,0.9748882716999999,0.07274459124397768,0.625,0,0,0.1150134281353,0.08129208566827542,0.9778571428571429
69,0,1,1,2.021720653357143,0.3942928682161776,0.4664285714285714,1,1,1.0338429222785712,0.11885488217912825,0.39,1,1,0.2504717888035,0.1109610599996103,0.6392857142857142
