"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"66",7,-431.200576066098,2.67442743659185,0.833267679597267,0.282948681628974,"converged","OUM_14","OUM","OUM",6,256,874.401152132197,0.999994574366333
"67",15,-78.9688375256566,0.184644959447896,1.05418961130363,0.112483650291968,"converged","OUM_15","OUM","OUM",6,256,169.937675051313,1
"68",7,-326.827014256165,1.21505387279991,0.876239281298941,0.20245110773266,"converged","OUM_16","OUM","OUM",6,256,665.654028512329,0.999999999999826
"69",20,216.937618702153,0.0131435696574564,0.876111289577128,0.0500008953444213,"converged","OUM_17","OUM","OUM",6,256,-421.875237404306,1
"70",11,-27.3661270298986,0.126508850952395,0.982699820595965,0.0659679190229913,"converged","OUM_18","OUM","OUM",6,256,66.7322540597972,1
"71",7,-406.532903881777,2.26958156985491,0.881532081034853,0.280257303609638,"converged","OUM_19","OUM","OUM",6,256,825.065807763554,0.999999999999811
"72",6,-278.98048147056,0.818630989588174,0.826810680017861,0.14457069692395,"converged","OUM_2","OUM","OUM",6,256,569.960962941119,0.997883795788275
"73",11,-90.3376513580291,0.186747460780701,0.829605922054461,0.0710719806108215,"converged","OUM_20","OUM","OUM",6,256,192.675302716058,0.99999999999986
"74",15,-42.0984753292452,0.151087369060371,1.01044901902676,0.0613863048715524,"converged","OUM_21","OUM","OUM",6,256,96.1969506584903,1
"75",8,-121.263730924842,0.259657048411731,0.915256776255285,0.0769706985426246,"converged","OUM_22","OUM","OUM",6,256,254.527461849684,0.999999999999993
"76",8,-139.928968013949,0.306663121140866,0.951261506320154,0.0874449441311035,"converged","OUM_23","OUM","OUM",6,256,291.857936027897,0.999999999999999
"77",8,-125.062011360128,0.283127160737838,0.983485438698535,0.0760694900192623,"converged","OUM_24","OUM","OUM",6,256,262.124022720256,0.999999999993056
"78",7,-225.729483183395,0.558877368486049,0.857857830549438,0.110427464642174,"converged","OUM_25","OUM","OUM",6,256,463.45896636679,0.578823637981131
"79",6,-203.973575973254,0.501345633856675,0.932524140361294,0.104858685731859,"converged","OUM_26","OUM","OUM",6,256,419.947151946509,0.999963535220105
"80",7,-202.500240242292,0.436143386969219,0.849253920523782,0.139975934309509,"converged","OUM_27","OUM","OUM",6,256,417.000480484584,1
"81",7,-298.044558039339,0.98438614235683,0.894932228521216,0.18089071209997,"converged","OUM_28","OUM","OUM",6,256,608.089116078679,0.999999999999952
"82",7,-468.286867135422,3.82298537320056,0.908528729968691,0.31577938044004,"converged","OUM_29","OUM","OUM",6,256,948.573734270843,0.995348348890611
"83",6,-288.429759207163,0.964189527454284,0.937612214757986,0.150691523931921,"converged","OUM_3","OU1","OU1",4,256,584.859518414326,0.743472746550684
"84",9,-427.508833080664,2.81443552064356,0.919420862038306,0.275224347591077,"converged","OUM_30","OUM","OUM",6,256,867.017666161327,0.999969450803819
"85",10,182.282276318241,0.0181382857692072,0.794403096962834,0.05,"converged","OUM_4","OUM","OUM",6,256,-352.564552636481,1
"86",9,-432.752185653187,2.88755107053345,0.919655166474236,0.305587397261475,"converged","OUM_5","OUM","OUM",6,256,877.504371306375,0.999999999998921
"87",26,-5.99845158330584,0.0935218522923268,1.12927799186604,0.122351401980691,"converged","OUM_6","OUM","OUM",6,256,23.9969031666117,1
"88",6,-390.859099321428,2.17715252351964,0.956278104533913,0.234592795541412,"converged","OUM_7","OUM","OUM",6,256,793.718198642856,0.999921507258979
"89",6,-115.58434416036,0.260543675405199,0.982951181669207,0.0792923055113992,"converged","OUM_8","OUM","OUM",6,256,243.168688320719,1
"90",10,-497.360188014266,4.56210310202374,0.8651882373451,0.380859537469878,"converged","OUM_9","OUM","OUM",6,256,1006.72037602853,0.999999994809919
