"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"31",10,-483.444757285283,-412.62118358342,0.860830364003983,1e-10,0.439139525602436,"converged","BM1_19_BM1","BM1_19","BM1","BM1",3,"exampleEM",256,972.889514570567,972.984752665805,0,0,0.999999938985627,0.999999941793279,"BM1",5.55046432951372,5.55046432951372
"32",8,-499.249752546666,-497.699052830101,2.35580434764357,0.376511607935149,0.435495437195673,"converged","BM1_19_OU1","BM1_19","OU1","OU1",4,"exampleEM",256,1006.49950509333,1006.65886764313,33.6099905227646,33.6741149773273,5.03133532755858e-08,4.87257817834211e-08,"BM1",0.398857782989921,0.22087093520031
"33",8,-498.797684030546,-494.114166721526,2.5160442818705,0.416668207018065,0.435529943775602,"converged","BM1_19_OUM","BM1_19","OUM","OUM",6,"exampleEM",256,1009.59536806109,1009.93271745868,36.7058534905251,36.9479647928774,1.07010196430371e-08,9.48093919252301e-09,"BM1",2.74653092775316,2.92451777554277
"34",9,-486.21998945004,-415.385549582386,0.897388380059963,1e-10,0.425874893131199,"converged","BM1_2_BM1","BM1_2","BM1","BM1",3,"exampleEM",256,978.43997890008,978.535216995318,0,0,0.999999987547665,0.9999999882595,"BM1",6.1057240909405,6.1057240909405
"35",7,-503.793254057278,-498.106805274418,2.71444453579927,0.431117553352701,0.422728579394101,"converged","BM1_2_OU1","BM1_2","OU1","OU1",4,"exampleEM",256,1015.58650811456,1015.74587066436,37.1465292144758,37.2106536690385,8.58486884715626e-09,8.31398461791883e-09,"BM1",1.70245642234693,1.52446957455732
"36",7,-502.590655666091,-496.496125715322,2.71070134918872,0.437219473639029,0.422867277673578,"converged","BM1_2_OUM","BM1_2","OUM","OUM",6,"exampleEM",256,1017.18131133218,1017.51866072977,38.7413324321009,38.9834437344532,3.86746637215076e-09,3.42651585080488e-09,"BM1",3.99023225719736,4.16821910498697
"37",9,-368.19751539224,-297.355775732271,0.345735734750829,1e-10,0.315796909197629,"converged","BM1_20_BM1","BM1_20","BM1","BM1",3,"exampleEM",256,742.39503078448,742.490268879718,0,0,0.999999999999284,0.999999999999357,"BM1",2.74509423525751,2.74509423525751
"38",7,-393.31888380466,-393.579370373034,0.983485636662914,0.35619204167786,0.31291650137819,"converged","BM1_20_OUM","BM1_20","OUM","OUM",6,"exampleEM",256,798.63776760932,798.97511700691,56.24273682484,56.4848481271923,6.12413668128353e-13,5.42589110718187e-13,"BM1",3.37083756179084,3.54882440958045
"39",8,-397.09329600945,-400.802535450302,0.951859184935014,0.321695031439507,0.312963641455305,"converged","BM1_20_OU1","BM1_20","OU1","OU1",4,"exampleEM",256,802.1865920189,802.345954568701,59.7915612344204,59.8556856889832,1.0385500853394e-13,1.00578000456752e-13,"BM1",10.4364584493428,10.4364584493428
"40",11,-465.078258107364,-394.237537755193,0.70908977627543,1e-10,0.504680698241838,"converged","BM1_21_BM1","BM1_21","BM1","BM1",3,"exampleEM",256,936.156516214728,936.251754309966,0,0,1,1,"BM1",0.437975595737953,0.373851141175237
"41",8,-502.259942918317,-509.91104637963,2.00187788173409,0.287928272393765,0.502317106489035,"converged","BM1_21_OU1","BM1_21","OU1","OU1",4,"exampleEM",256,1012.51988583663,1012.67924838644,76.3633696219067,76.4274940764694,2.617610215254e-17,2.53501497079323e-17,"BM1",3.06662227792162,3.06662227792162
"42",8,-502.555488844557,-507.031165185971,2.11450571654311,0.314646725014528,0.502313113575717,"converged","BM1_21_OUM","BM1_21","OUM","OUM",6,"exampleEM",256,1017.11097768911,1017.4483270867,80.9544614743857,81.196572776738,2.63610101361287e-18,2.33554503953305e-18,"BM1",0.0703336430677837,0.0703336430677837
"43",8,-221.743473061358,-150.916633663726,0.111179808097088,1e-10,0.181142040634052,"converged","BM1_22_BM1","BM1_22","BM1","BM1",3,"exampleEM",256,449.486946122715,449.582184217953,0,0,1,1,"BM1",0.493020619481626,0.250909317129356
"44",6,-257.041525716446,-261.872292028043,0.316618186790663,0.312235194659236,0.177692197848565,"converged","BM1_22_OU1","BM1_22","OU1","OU1",4,"exampleEM",256,522.083051432892,522.242413982693,72.5961053101772,72.6602297647399,1.72169424611552e-16,1.66736845065677e-16,"BM1",2.36637556557264,2.18838871778303
"45",7,-256.135720075338,-259.909511351659,0.319086610121144,0.321667729836694,0.178247137932752,"converged","BM1_22_OUM","BM1_22","OUM","OUM",6,"exampleEM",256,524.271440150675,524.608789548266,74.7844940279602,75.0266053303125,5.76439132421913e-17,5.10716224214633e-17,"BM1",0.85932204750543,0.85932204750543
"46",10,-310.958056179617,-240.134535670559,0.221095794812164,1e-10,0.243817418979841,"converged","BM1_23_BM1","BM1_23","BM1","BM1",3,"exampleEM",256,627.916112359234,628.011350454472,0,0,0.999999999999927,0.99999999999993,"BM1",2.00584528844763,2.00584528844763
"47",7,-340.331708329575,-341.545331692508,0.650137940726997,0.346386123282793,0.237173960176608,"converged","BM1_23_OU1","BM1_23","OU1","OU1",4,"exampleEM",256,688.66341665915,688.822779208951,60.7473042999163,60.811428754479,6.44006834062601e-14,6.23686046198986e-14,"BM1",0.730514632346399,0.552527784556787
"48",7,-340.359186343054,-341.461612795567,0.651666578460361,0.347535859041024,0.237194020033733,"converged","BM1_23_OUM","BM1_23","OUM","OUM",6,"exampleEM",256,692.718372686108,693.055722083698,64.8022603268735,65.0443716292258,8.47945544604754e-15,7.51266738364308e-15,"BM1",1.18555613788226,1.42766744023459
"49",10,-303.258329877625,-232.453426838745,0.203012697480024,1e-10,0.250286190532647,"converged","BM1_24_BM1","BM1_24","BM1","BM1",3,"exampleEM",256,612.51665975525,612.611897850488,0,0,0.999999999999979,0.999999999999981,"BM1",5.25523779865114,5.19111334408842
"50",7,-332.33532080119,-331.300373580284,0.629782626252608,0.370780817608407,0.243256850507797,"converged","BM1_24_OUM","BM1_24","OUM","OUM",6,"exampleEM",256,676.67064160238,677.007990999971,64.1539818471309,64.3960931494832,1.1725728813626e-14,1.03888157639455e-14,"BM1",0.368647219203353,0.546634066992965
