"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"32",1,-51.0753894708243,0.357444812568492,1e-10,0,NA,"OU1_1","BM1","BM1",3,256,108.150778941649,0.998840058192462
"33",1,-46.7473835117956,0.33407163144316,1e-10,0,NA,"OU1_10","BM1","BM1",3,256,99.4947670235913,0.998340938886823
"34",1,-65.5192119405217,0.447942195291262,1e-10,0,NA,"OU1_11","BM1","BM1",3,256,137.038423881043,0.99650803228639
"35",1,-64.8138517887227,0.443032265781182,1e-10,0,NA,"OU1_12","BM1","BM1",3,256,135.627703577445,0.749438935043792
"36",1,-54.380638393646,0.376389798798664,1e-10,0,NA,"OU1_13","BM1","BM1",3,256,114.761276787292,0.99797598091429
"37",1,-65.5129799879462,0.447898793470444,1e-10,0,NA,"OU1_14","BM1","BM1",3,256,137.025959975892,0.960956948420585
"38",1,-64.5989486460456,0.441547127327392,1e-10,0,NA,"OU1_15","BM1","BM1",3,256,135.197897292091,0.825911893367861
"39",1,-54.9220352369919,0.379587377203546,1e-10,0,NA,"OU1_16","BM1","BM1",3,256,115.844070473984,0.989895737835324
"40",1,-54.9455811853594,0.379727125743593,1e-10,0,NA,"OU1_17","BM1","BM1",3,256,115.891162370719,0.9917260153137
"41",1,-58.060952469946,0.39866807933361,1e-10,0,NA,"OU1_18","BM1","BM1",3,256,122.121904939892,0.665691197917711
"42",1,-70.4067629178283,0.483490869523644,1e-10,0,NA,"OU1_19","BM1","BM1",3,256,146.813525835657,0.75161310957291
"43",1,-66.1690818681834,0.452514060554623,1e-10,0,NA,"OU1_2","BM1","BM1",3,256,138.338163736367,0.81437747237816
"44",1,-68.7516985179787,0.471147707895593,1e-10,0,NA,"OU1_20","BM1","BM1",3,256,143.503397035957,0.99899842544421
"45",1,-68.7953965880119,0.471469218681464,1e-10,0,NA,"OU1_21","BM1","BM1",3,256,143.590793176024,0.967152542170358
"46",1,-55.0932729020317,0.380604308333633,1e-10,0,NA,"OU1_22","BM1","BM1",3,256,116.186545804063,0.789090408167924
"47",1,-51.2251150536287,0.358282010129658,1e-10,0,NA,"OU1_23","BM1","BM1",3,256,108.450230107257,0.927302896738659
"48",1,-41.3420055230173,0.307015037982871,1e-10,0,NA,"OU1_24","BM1","BM1",3,256,88.6840110460347,0.946380294488431
"49",1,-55.168712600986,0.381053206506666,1e-10,0,NA,"OU1_25","BM1","BM1",3,256,116.337425201972,0.957617134001117
"50",1,-59.742208666267,0.409279599491285,1e-10,0,NA,"OU1_26","BM1","BM1",3,256,125.484417332534,0.744762228123029
"51",1,-74.5501956932857,0.515827862114919,1e-10,0,NA,"OU1_27","BM1","BM1",3,256,155.100391386571,0.898585782143626
"52",1,-57.642624914389,0.396070352317452,1e-10,0,NA,"OU1_28","BM1","BM1",3,256,121.285249828778,0.964340616920049
